"LP";"Numer kodowy ";"Nazwa produktu";"odpadki";"wartość energetyczna";;"woda";"białko ogółem";"białko zwierzęce";"białko roślinne";"tłuszcz";"węglowodany ogółem";"popiół";"składniki mineralne";;;;;;;;;"witaminy";;;;;;;;;;;;"kwasy tłuszczowe nasycone";;;;;;;;;;;;"kwasy tłuszczowe jednonienasycone";;;;;;;;"kwasy tłuszczowe wielonienasycone";;;;;;;;;"cholesterol";"aminokwasy";;;;;;;;;;;;;;;;;;"węglowodany";;;;"% energii z:";;
;;;;;;;;;;;;;"sód";"potas";"wapń";"fosfor";"magnez";"żelazo";"cynk";"miedź";"mangan";"ek.retinolu";"retinol";"beta-karoten";"D";"E";"tiamina";"ryboflawina";"niacyna";" B6";"foliany";" B12";"C";"C 4:0";"C 6:0";"C 8:0";"C 10:0";"C 12:0";"C 14:0";"C 15:0";"C 16:0";"C 17:0";"C 18:0";"C 20:0";"ogółem";"C 14:1";"C 15:1";"C 16:1";"C 17:1";"C 18:1";"C 20:1";"C 22:1";"ogółem";"C 18:2";"C 18:3";"C 18:4";"C 20:3";"C 20:4";"C 20:5";"C 22:5";"C 22:6";"ogółem";;"izoleucyna";"leucyna";"lizyna";"metionina";"cystyna";"fenylo-alanina";"tyrozyna";"treonina";"tryptofan";"walina";"arginina";"histydyna";"alanina";"kwas asparaginowy";"kwas glutaminowy";"glicyna";"prolina";"seryna";"sacharoza";"laktoza";"skrobia";"błonnik pokarmowy";"białka";"tłuszczu";"węglo-wodanów"
;;;"g";"KJ";"kcal";"g";"g";"g";"g";"g";"g";"g";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mcg";"mcg";"mcg";"mcg";"mg";"mg";"mg";"mg";"mg";"mcg";"mcg";"mg";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"g";"g";"g";"g";;;
10;"1.1.1.010";"Mleko w proszku pełne";0;2005;479;4,0;27,0;27,0;0,0;24,0;38,7;6,3;357;1393;1062;765;108;0,9;3,09;0,18;0,20;199;174;149;0,24;0,41;0,288;1,350;0,90;0,36;40;2,40;10,8;0,73;0,45;0,27;0,63;0,79;2,54;0,25;5,90;0,23;2,54;0,00;14,33;0,32;0,16;0,61;0,25;6,30;0,00;0,00;7,64;0,32;0,34;0,00;0,00;0,00;0,00;0,00;0,00;0,66;109;1510;2349;2645;663;208;1255;1055;1031;328;1814;879;711;871;1974;5258;495;2517;1438;0,0;38,7;0,0;0,0;23;44;33
11;"1.1.1.011";"Mleko zagęszczone niesłodzone";0;550;131;75,0;6,6;6,6;0,0;7,5;9,4;1,5;120;304;258;202;26;0,2;0,70;0,04;0,02;62;54;47;0,10;0,13;0,070;0,328;0,22;0,09;8;0,40;5,0;0,23;0,14;0,08;0,20;0,25;0,79;0,08;1,84;0,07;0,79;0,00;4,47;0,10;0,05;0,19;0,08;1,97;0,00;0,00;2,39;0,10;0,11;0,00;0,00;0,00;0,00;0,00;0,00;0,21;30;369;574;647;162;51;307;258;252;80;443;215;174;213;482;1285;121;615;351;0,0;9,4;0,0;0,0;20;51;29
12;"1.1.1.012";"Mleko zagęszczone słodzone";0;1364;326;27,5;7,5;7,5;0,0;8,0;55,3;1,7;110;348;295;212;30;0,2;0,80;0,05;0,02;66;58;50;0,10;0,14;0,080;0,375;0,25;0,10;9;0,50;4,0;0,24;0,15;0,09;0,21;0,26;0,85;0,08;1,97;0,08;0,85;0,00;4,78;0,11;0,05;0,20;0,08;2,10;0,00;0,00;2,54;0,11;0,11;0,00;0,00;0,00;0,00;0,00;0,00;0,22;32;419;653;735;184;58;348;293;286;91;504;244;197;242;548;1460;138;699;399;45,0;10,3;0,0;0,0;9;22;69
13;"1.1.1.013";"Mleko UHT 3,2% tłuszczu";0;256;61;88,0;3,3;3,3;0,0;3,2;4,8;0,7;41;139;113;81;12;0,1;0,32;0,02;0,02;33;29;26;0,03;0,10;0,036;0,170;0,10;0,04;1;0,20;1,0;0,10;0,06;0,04;0,08;0,11;0,34;0,03;0,79;0,03;0,34;0,00;1,92;0,04;0,02;0,08;0,03;0,84;0,00;0,00;1,01;0,04;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,08;13;185;287;323;81;25;153;129;126;40;222;107;87;106;241;643;61;308;176;0,2;4,6;0,0;0,0;22;46;32
14;"1.1.1.014";"Mleko UHT 1,5% tłuszczu";0;198;47;89,4;3,4;3,4;0,0;1,5;5,0;0,7;42;141;110;92;12;0,1;0,37;0,01;0,02;19;17;12;0,01;0,05;0,037;0,170;0,10;0,04;1;0,20;1,0;0,06;0,03;0,02;0,04;0,05;0,15;0,00;0,43;0,00;0,17;0,01;0,96;0,00;0,00;0,03;0,00;0,32;0,00;0,00;0,35;0,03;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,04;5;190;296;333;83;26;158;133;130;41;228;111;89;110;248;662;62;317;181;0,2;4,8;0,0;0,0;29;28;43
15;"1.1.1.015";"Mleko UHT 0,5% tłuszczu";0;165;39;90,3;3,5;3,5;0,0;0,5;5,1;0,6;42;141;111;91;12;0,1;0,40;0,01;0,01;15;13;12;0,00;0,01;0,037;0,170;0,10;0,04;1;0,20;1,0;0,02;0,01;0,01;0,01;0,02;0,05;0,00;0,14;0,00;0,06;0,00;0,32;0,00;0,00;0,01;0,00;0,11;0,00;0,00;0,12;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;2;196;304;343;86;27;163;137;134;42;235;114;92;113;256;681;64;326;186;0,2;4,9;0,0;0,0;36;11;53
16;"1.2.1.001";"Śmietanka kremowa 30% tłuszczu";0;1200;287;64,2;2,2;2,2;0,0;30,0;3,1;0,5;32;101;86;62;9;0,1;0,23;0,01;0,00;249;218;187;0,22;0,51;0,022;0,109;0,07;0,03;4;0,20;0,0;0,91;0,57;0,34;0,79;0,99;3,18;0,31;7,37;0,28;3,18;0,00;17,92;0,40;0,20;0,77;0,31;7,88;0,00;0,00;9,56;0,40;0,43;0,00;0,00;0,00;0,00;0,00;0,00;0,83;106;115;195;181;54;20;100;97;91;29;150;68;55;68;157;453;40;210;118;0,0;3,1;0,0;0,0;3;93;4
17;"1.2.1.002";"Śmietana 18% tłuszczu";0;770;184;75,3;2,5;2,5;0,0;18,0;3,6;0,6;37;116;99;71;10;0,1;0,27;0,02;0,00;150;131;112;0,14;0,31;0,027;0,126;0,07;0,03;4;0,30;0,0;0,54;0,34;0,20;0,48;0,60;1,91;0,19;4,42;0,17;1,91;0,00;10,76;0,24;0,12;0,46;0,19;4,73;0,00;0,00;5,74;0,24;0,26;0,00;0,00;0,00;0,00;0,00;0,00;0,50;56;131;221;206;62;23;114;109;103;32;170;78;63;78;178;514;46;238;134;0,0;3,6;0,0;0,0;6;86;8
18;"1.2.1.003";"Śmietana 12% tłuszczu";0;556;133;80,8;2,7;2,7;0,0;12,0;3,9;0,6;40;125;106;76;11;0,1;0,29;0,02;0,00;100;87;75;0,10;0,21;0,029;0,135;0,06;0,04;4;0,30;0,0;0,36;0,23;0,14;0,32;0,40;1,27;0,12;2,95;0,11;1,27;0,00;7,17;0,16;0,08;0,31;0,12;3,15;0,00;0,00;3,82;0,16;0,17;0,00;0,00;0,00;0,00;0,00;0,00;0,33;39;141;239;223;66;24;123;119;111;35;184;84;67;83;192;556;49;258;145;0,0;3,9;0,0;0,0;8;80;12
19;"1.2.1.004";"Śmietanka do kawy 9% tłuszczu";0;449;107;83,6;2,8;2,8;0,0;9,0;4,0;0,6;41;128;109;79;11;0,1;0,30;0,02;0,00;74;65;56;0,10;0,15;0,030;0,138;0,06;0,04;4;0,30;0,0;0,27;0,17;0,10;0,24;0,30;0,95;0,09;2,21;0,09;0,95;0,00;5,37;0,12;0,06;0,23;0,10;2,36;0,00;0,00;2,87;0,12;0,13;0,00;0,00;0,00;0,00;0,00;0,00;0,25;35;147;248;231;69;25;128;123;115;36;190;87;70;87;199;576;51;267;151;0,0;4,0;0,0;0,0;11;74;15
20;"1.3.1.001";"Jogurt naturalny 2% tłuszczu";0;253;60;86,5;4,3;4,3;0,0;2,0;6,2;1,0;63;200;170;122;17;0,1;0,46;0,03;0,00;16;14;13;0,03;0,03;0,046;0,216;0,14;0,06;10;0,50;1,0;0,06;0,04;0,02;0,05;0,07;0,21;0,02;0,49;0,02;0,21;0,00;1,19;0,03;0,01;0,05;0,02;0,52;0,00;0,00;0,63;0,03;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,06;8;225;382;355;105;38;196;189;178;55;294;133;107;132;305;885;79;411;231;1,0;4,6;0,0;0,0;29;29;42
21;"1.3.1.002";"Jogurt bananowy 1,5% tłuszczu";0;292;70;83,5;3,7;3,6;0,1;1,5;10,4;0,9;48;215;132;97;18;0,2;0,39;0,04;0,08;20;17;16;0,02;0,09;0,044;0,194;0,18;0,10;7,4;0,36;2,1;0,05;0,03;0,02;0,04;0,05;0,16;0,01;0,39;0,01;0,16;0,00;0,92;0,02;0,01;0,04;0,01;0,40;0,00;0,00;0,48;0,03;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,06;7;187;332;300;90;34;170;166;156;49;241;121;105;122;269;746;71;341;201;3,6;5,0;0,3;0,2;22;19;59
22;"1.3.1.003";"Jogurt jagodowy 1,5% tłuszczu";0;261;62;85,2;3,7;3,6;0,1;1,5;8,8;0,8;48;170;134;96;14;0,2;0,42;0,04;0,13;20;17;14;0,02;0,31;0,041;0,183;0,15;0,06;5,4;0,36;2,8;0,05;0,03;0,02;0,04;0,05;0,16;0,01;0,38;0,01;0,16;0,00;0,91;0,02;0,01;0,04;0,01;0,40;0,00;0,00;0,48;0,05;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,10;7;188;332;297;92;33;170;166;157;47;241;123;96;123;265;755;73;343;200;2,2;5,0;0,0;0,4;24;21;55
23;"1.3.1.004";"Jogurt morelowy 1,5% tłuszczu";0;265;63;85,0;3,7;3,6;0,1;1,5;8,9;0,9;47;200;133;96;14;0,2;0,38;0,04;0,05;57;17;237;0,01;0,13;0,043;0,185;0,23;0,06;5,3;0,35;1,9;0,04;0,03;0,01;0,04;0,05;0,16;0,01;0,37;0,01;0,16;0,00;0,88;0,02;0,01;0,04;0,01;0,40;0,00;0,00;0,48;0,03;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,05;6;186;327;299;89;33;168;166;157;47;238;116;96;123;301;743;70;340;201;2,9;5,0;0,0;0,3;24;21;55
24;"1.3.1.005";"Jogurt truskawkowy 1,5% tłuszczu";0;253;60;85,7;3,7;3,6;0,1;1,5;8,2;0,9;47;179;134;97;15;0,2;0,37;0,04;0,05;19;17;11;0,01;0,07;0,043;0,187;0,15;0,06;6,9;0,35;9,9;0,04;0,03;0,01;0,04;0,05;0,16;0,01;0,37;0,01;0,16;0,00;0,88;0,02;0,01;0,04;0,01;0,40;0,00;0,00;0,48;0,04;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,08;6;186;329;300;89;32;169;168;156;48;239;119;95;123;281;753;71;341;200;2,4;5,0;0,0;0,3;25;22;53
25;"1.3.1.006";"Jogurt wiśniowy 1,5% tłuszczu";0;256;61;85,8;3,7;3,6;0,1;1,5;8,2;0,8;49;182;134;98;15;0,2;0,38;0,04;0,03;24;17;42;0,02;0,07;0,046;0,189;0,17;0,06;5,7;0,36;2,5;0,05;0,03;0,02;0,04;0,05;0,16;0,02;0,38;0,02;0,16;0,00;0,93;0,02;0,01;0,04;0,02;0,41;0,00;0,00;0,50;0,03;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,06;7;185;325;298;89;32;167;164;154;47;237;116;94;120;325;737;69;340;199;1,7;5,1;0,0;0,1;24;22;54
26;"1.3.1.007";"Kefir 2% tłuszczu";0;212;51;89,3;3,4;3,4;0,0;2,0;4,7;0,6;38;122;103;74;10;0,1;0,28;0,02;0,00;16;14;13;0,03;0,03;0,028;0,131;0,09;0,04;5;0,50;0,0;0,06;0,04;0,02;0,05;0,07;0,21;0,02;0,49;0,02;0,21;0,00;1,19;0,03;0,01;0,05;0,02;0,52;0,00;0,00;0,63;0,03;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,06;8;211;358;333;98;36;184;138;129;40;213;96;78;96;223;644;58;298;167;0,0;4,1;0,0;0,0;27;35;38
27;"1.3.1.008";"Maślanka spożywcza 0,5 % tłuszczu";0;156;37;90,7;3,4;3,4;0,0;0,5;4,7;0,7;60;150;110;80;13;0,1;0,50;0,01;0,00;8;7;3;0,00;0,00;0,040;0,170;0,10;0,04;3;0,30;0,0;0,02;0,01;0,01;0,01;0,02;0,05;0,01;0,14;0,00;0,06;0,01;0,34;0,01;0,00;0,01;0,00;0,11;0,00;0,00;0,13;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;3;202;320;266;77;30;174;128;155;35;238;155;92;119;257;623;71;320;139;0,0;4,7;0,0;0,0;37;12;51
28;"1.3.1.009";"Napój mleczny jogurtowy";0;344;82;81,1;4,0;4,0;0,0;1,9;12,1;0,9;59;186;158;113;16;0,1;0,43;0,03;0,00;15;13;12;0,03;0,03;0,043;0,201;0,13;0,06;8,4;0,44;0,9;0,06;0,04;0,02;0,05;0,07;0,20;0,02;0,46;0,02;0,20;0,00;1,14;0,03;0,01;0,05;0,02;0,48;0,00;0,00;0,59;0,03;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,06;7;209;355;330;98;35;182;176;166;51;273;124;100;123;284;823;73;382;215;7,2;4,3;0,0;0,0;20;20;60
29;"1.3.1.010";"Napój mleczny kakaowy";0;338;81;81,8;3,3;3,1;0,2;2,1;12,1;0,7;41;153;111;87;16;0,2;0,38;0,07;0,05;23;21;11;0,02;0,07;0,035;0,161;0,12;0,05;4,5;0,35;0,9;0,05;0,04;0,02;0,05;0,06;0,19;0,02;0,52;0,02;0,28;0,00;1,25;0,03;0,01;0,05;0,02;0,57;0,00;0,00;0,68;0,04;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,07;7;171;287;265;78;33;151;144;138;42;226;111;81;106;243;673;67;305;178;7,2;4,3;0,1;0,1;17;23;60
30;"1.3.1.011";"Napój mleczny serwatkowo-śmietankowy";0;308;74;84,0;0,9;0,9;0,0;2,2;12,4;0,5;40;116;66;40;2;0,1;0,07;0,00;0,01;21;19;15;0,02;0,04;0,035;0,126;0,09;0,04;1,1;0,18;0,0;0,06;0,04;0,02;0,06;0,07;0,24;0,02;0,55;0,02;0,24;0,00;1,32;0,03;0,01;0,06;0,02;0,58;0,00;0,00;0,70;0,03;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,06;8;53;88;75;17;11;36;33;58;14;60;27;20;37;88;167;18;53;44;8,0;4,5;0,0;0,0;5;26;69
31;"1.3.1.012";"Napój mleczny śmietankowy";0;263;63;84,4;3,5;3,5;0,0;0,5;10,9;0,7;61;158;116;84;14;0,1;0,51;0,01;0,00;8;7;3;0,00;0,00;0,041;0,176;0,10;0,04;3;0,29;0,1;0,02;0,01;0,01;0,01;0,02;0,05;0,01;0,13;0,00;0,06;0,01;0,33;0,01;0,00;0,01;0,00;0,10;0,00;0,00;0,12;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;3;203;329;275;81;31;177;135;159;37;241;155;95;124;262;647;73;328;148;6,0;4,9;0,0;0,0;23;7;70
32;"1.3.1.013";"Serwatka płynna";0;104;25;93,4;0,8;0,8;0,0;0,1;5,1;0,6;45;129;68;40;1;0,1;0,05;0,00;0,01;4;4;2;0,00;0,00;0,040;0,140;0,10;0,04;1;0,10;0,0;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,03;0,00;0,01;0,00;0,05;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2;50;82;67;13;11;29;27;60;14;53;23;17;36;88;141;17;34;38;0,0;5,1;0,0;0,0;13;4;83
33;"1.4.1.001";"Ser, Brie pełnotłusty";0;1376;329;49,3;19,8;19,8;0,0;28,0;0,2;2,7;880;100;600;380;20;0,2;2,28;0,04;0,04;285;265;122;0,20;0,60;0,050;0,340;0,40;0,24;60;1,70;0,0;1,07;0,61;0,30;0,69;0,89;2,75;0,25;7,81;0,23;3,06;0,23;17,89;0,31;0,16;0,57;0,25;5,80;0,00;0,00;7,09;0,31;0,34;0,00;0,00;0,00;0,00;0,00;0,00;0,65;72;902;1713;1638;527;101;1028;1061;669;284;1187;651;635;760;1195;3888;342;2181;1036;0,0;0,1;0,0;0,0;25;75;0
34;"1.4.1.002";"Ser, Camembert pełnotłusty";0;1218;291;52,1;21,4;21,4;0,0;23,0;0,2;3,3;966;101;386;310;22;0,5;2,84;0,07;0,04;232;215;99;0,18;0,50;0,046;0,458;1,42;0,16;62;1,10;0,0;0,70;0,43;0,25;0,60;0,75;2,44;0,24;5,64;0,22;2,44;0,00;13,71;0,30;0,15;0,59;0,24;6,04;0,00;0,00;7,32;0,30;0,32;0,00;0,00;0,00;0,00;0,00;0,00;0,62;73;958;1746;1576;502;118;1064;1165;794;309;1361;679;574;618;1422;4739;395;2199;1179;0,0;0,1;0,0;0,0;30;70;0
35;"1.4.1.003";"Ser, Cheddar pełnotłusty";0;1635;391;37,7;27,1;27,1;0,0;31,7;0,1;3,4;598;81;703;487;54;0,5;4,05;0,04;0,02;382;334;286;0,26;0,50;0,040;0,597;0,02;0,02;18;1,10;0,0;0,96;0,59;0,36;0,84;1,05;3,35;0,32;7,79;0,30;3,35;0,00;18,91;0,42;0,20;0,81;0,32;8,33;0,00;0,00;10,08;0,42;0,45;0,00;0,00;0,00;0,00;0,00;0,00;0,87;90;1212;2211;2005;635;150;1348;1475;1004;393;1723;860;727;782;1801;5999;499;2782;1492;0,0;0,1;0,0;0,0;28;72;0
36;"1.4.1.004";"Ser, Edamski tłusty";0;1311;313;46,0;26,1;26,1;0,0;23,4;0,1;4,4;618;81;867;523;27;0,6;2,20;0,03;0,02;269;235;201;0,19;0,38;0,027;0,350;0,10;0,03;20;2,10;0,0;0,71;0,45;0,26;0,62;0,78;2,48;0,24;5,75;0,22;2,48;0,00;13,99;0,31;0,16;0,59;0,24;6,15;0,00;0,00;7,45;0,31;0,33;0,00;0,00;0,00;0,00;0,00;0,00;0,64;71;1168;2130;1922;612;144;1299;1421;968;379;1661;829;700;754;1736;5779;481;2680;1437;0,0;0,1;0,0;0,0;34;66;0
37;"1.4.1.005";"Ser, Ementaler pełnotłusty";0;1590;380;36,9;28,8;28,8;0,0;29,7;0,1;4,5;909;119;835;416;39;0,5;4,40;0,04;0,02;297;260;223;0,25;0,40;0,025;0,375;0,09;0,05;20;2,20;0,0;0,90;0,56;0,33;0,78;0,98;3,15;0,31;7,30;0,28;3,15;0,00;17,74;0,40;0,19;0,75;0,31;7,80;0,00;0,00;9,45;0,40;0,42;0,00;0,00;0,00;0,00;0,00;0,00;0,82;83;1289;2350;2120;675;160;1433;1568;1068;418;1832;914;773;831;1915;6377;531;2958;1586;0,0;0,1;0,0;0,0;31;69;0
38;"1.4.1.006";"Ser, Gouda tłusty";0;1323;316;44,9;27,9;27,9;0,0;22,9;0,1;4,2;898;83;807;516;31;0,7;4,18;0,07;0,03;276;241;207;0,24;0,38;0,026;0,392;0,07;0,02;20;1,70;0,0;0,70;0,44;0,26;0,60;0,76;2,42;0,24;5,63;0,22;2,42;0,00;13,69;0,30;0,16;0,58;0,24;6,02;0,00;0,00;7,30;0,30;0,32;0,00;0,00;0,00;0,00;0,00;0,00;0,62;71;1249;2277;2054;654;154;1388;1519;1034;404;1775;885;749;805;1855;6179;515;2866;1536;0,0;0,1;0,0;0,0;36;64;0
